id,title,authors,subjects,bookshelves,languages,download_count,media_type,copyright
71058,"Holidays at Brighton : $b or, sea-side amusements",Anonymous,Brighton (England) -- Description and travel -- Juvenile literature,Category: Adventure; Category: British Literature; Category: Children & Young Adult Reading; Category: Historical Novels,en,226,Text,False
71245,The new buggy,"Leslie, Madeline",Generosity -- Juvenile fiction,Category: Children & Young Adult Reading,en,226,Text,False
75934,A little Irish girl,"Callwell, J. M. (Josephine Martin)",Action and adventure fiction; Country life -- Ireland -- Juvenile fiction; Domestic fiction; Ireland -- Juvenile fiction; Orphans -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Novels,en,226,Text,False
4378,In Homespun,"Nesbit, E. (Edith)","Fiction; Short stories, English",Category: British Literature; Category: Short Stories; Children's Literature,en,225,Text,False
6860,Keineth,"Abbott, Jane","Girls -- Juvenile fiction; World War, 1914-1918 -- Juvenile fiction",Category: American Literature; Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
9219,"Edward Fane's Rosebud (From ""Twice Told Tales"")","Hawthorne, Nathaniel","Historical fiction, American; New England -- Social life and customs -- Fiction; Short stories",Category: American Literature; Category: Short Stories; Children's Literature,en,225,Text,False
11196,"The Atlantic Monthly, Volume 04, No. 21, July, 1859: A Magazine of Literature, Art, and Politics",Various,American periodicals,Category: History - American; Category: Journals; The Atlantic Monthly,en,225,Text,False
14180,"Dew Drops, Vol. 37, No. 17, April 26, 1914",Various,Children's literature -- Periodicals; Christian literature for children -- Periodicals,Category: Children & Young Adult Reading; Category: Poetry; Category: Short Stories; Dew Drops,en,225,Text,False
14243,"Christopher Carson, Familiarly Known as Kit Carson","Abbott, John S. C. (John Stevens Cabot)","Carson Kit, 1809-1868",Category: Adventure; Category: Biographies; Category: History - American,en,225,Text,False
16083,"The American Missionary — Volume 43, No. 01, January, 1889",Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,Category: History - American; Category: Journals; Category: Religion/Spirituality; Category: Sociology; Category: Teaching & Education; The American Missionary,en,225,Text,False
17772,Mrs. Overtheway's Remembrances,"Ewing, Juliana Horatia",Great Britain -- History -- 19th century -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Novels; Children's Literature,en,225,Text,False
17993,Young Peoples' History of the War with Spain,"Holmes, Prescott","Spanish-American War, 1898",Category: Children & Young Adult Reading; Category: History - American; Category: History - Modern (1750+); Children's History,en,225,Text,False
19473,"Now or Never; Or, The Adventures of Bobby Bright","Optic, Oliver",Book industries and trade -- Juvenile fiction; Boston (Mass.) -- Juvenile fiction; Child labor -- Juvenile fiction; Children's stories; Fishing -- Juvenile fiction; Maine -- Juvenile fiction; Money -- Juvenile fiction; Mothers and sons -- Juvenile fiction; Runaway children -- Juvenile fiction; Theft -- Juvenile fiction; Widows -- Juvenile fiction,Category: Adventure; Category: American Literature; Category: Children & Young Adult Reading; Category: Novels; Children's Fiction,en,225,Text,False
22410,The Crofton Boys,"Martineau, Harriet",Boys -- Juvenile fiction; School children -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
22611,The Fox and the Geese; and The Wonderful History of Henny-Penny,Anonymous,Animals -- Juvenile fiction; Children's stories; Conduct of life -- Juvenile poetry; Foxes -- Juvenile poetry; Geese -- Juvenile poetry; Nursery rhymes,"Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore",en,225,Text,False
22626,"An ode : $b pronounced before the inhabitants of Boston, September the seventeenth, 1830, at the centennial celebration of the settlement of the city","Sprague, Charles","Boston (Mass.) -- Centennial celebrations, etc.",Category: American Literature; Category: History - American; Category: Poetry,en,225,Text,False
23627,Messenger No. 48,"Otis, James",Friendship -- Juvenile fiction; Homeless boys -- Juvenile fiction; Messengers -- Juvenile fiction; New York (State) -- Juvenile fiction; Orphans -- Juvenile fiction,Category: Adventure; Category: American Literature; Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
24578,Mary Louise Solves a Mystery,"Baum, L. Frank (Lyman Frank)","Burrows, Mary Louise (Fictitious character) -- Juvenile fiction; Detective and mystery stories; Teenage girls -- Juvenile fiction",Category: Children & Young Adult Reading; Category: Novels; Children's Book Series,en,225,Text,False
25659,"A Week of Instruction and Amusement,: or, Mrs. Harley's birthday present to her daughter :; interspersed with short stories, outlines of sacred and; prophane history, geography &c.",Unknown,Children's stories; Conduct of life -- Juvenile literature; Readers (Primary),Category: Children & Young Adult Reading; Category: Teaching & Education,en,225,Text,False
25943,The Tale of Chirpy Cricket,"Bailey, Arthur Scott",Animals -- Juvenile fiction; Crickets -- Juvenile fiction; Fiddling -- Juvenile fiction; Friendship -- Juvenile fiction; Insects -- Juvenile fiction,Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
